,0
0,negative
1,negative
2,negative
3,negative
4,negative
5,neutral
6,negative
7,negative
8,negative
9,negative
10,negative
11,neutral
12,negative
13,negative
14,negative
15,negative
16,positive
17,negative
18,negative
19,negative
20,negative
21,neutral
22,positive
23,negative
24,negative
25,positive
26,negative
27,negative
28,negative
29,positive
30,negative
31,negative
32,negative
33,negative
34,negative
35,negative
36,positive
37,neutral
38,positive
39,negative
40,negative
41,positive
42,negative
43,neutral
44,negative
45,neutral
46,positive
47,negative
48,negative
49,negative
50,negative
51,negative
52,positive
53,negative
54,negative
55,negative
56,negative
57,negative
58,neutral
59,negative
60,negative
61,positive
62,positive
63,positive
64,negative
65,negative
66,negative
67,negative
68,negative
69,negative
70,negative
71,negative
72,negative
73,negative
74,negative
75,negative
76,negative
77,negative
78,neutral
79,negative
80,negative
81,negative
82,negative
83,negative
84,negative
85,negative
86,positive
87,negative
88,negative
89,negative
90,negative
91,negative
92,negative
93,negative
94,neutral
95,negative
96,negative
97,positive
98,negative
99,negative
100,negative
101,negative
102,negative
103,negative
104,negative
105,neutral
106,negative
107,negative
108,negative
109,negative
110,negative
111,negative
112,negative
113,negative
114,negative
115,negative
116,positive
117,negative
118,positive
119,positive
120,negative
121,negative
122,neutral
123,negative
124,negative
125,negative
126,negative
127,negative
128,negative
129,negative
130,neutral
131,neutral
132,negative
133,neutral
134,negative
135,neutral
136,negative
137,negative
138,negative
139,negative
140,negative
141,negative
142,negative
143,negative
144,negative
145,positive
146,negative
147,negative
148,negative
149,negative
150,negative
151,positive
152,negative
153,negative
154,negative
155,negative
156,negative
157,negative
158,negative
159,negative
160,negative
161,neutral
162,positive
163,negative
164,negative
165,negative
166,negative
167,negative
168,negative
169,negative
170,neutral
171,neutral
172,negative
173,negative
174,positive
175,neutral
176,negative
177,negative
178,negative
179,negative
180,negative
181,negative
182,negative
183,negative
184,negative
185,negative
186,negative
187,negative
188,negative
189,negative
190,negative
191,negative
192,negative
193,negative
194,positive
195,negative
196,negative
197,negative
198,negative
199,negative
200,negative
201,negative
202,negative
203,negative
